time_start,time_end,launched,destroyed,id
2023-06-20 00:00:00,2023-06-20 08:00:00,6,6,306
2023-06-22 00:00:00,2023-06-22 08:00:00,4,3,307
2023-06-22 00:00:00,2023-06-22 08:00:00,3,0,308
2023-06-22 00:00:00,2023-06-22 08:00:00,3,0,309
2023-06-23 00:00:00,2023-06-23 08:00:00,13,13,310
2023-06-23 00:00:00,2023-06-23 00:00:00,1,1,311
2023-06-24 00:00:00,2023-06-24 08:00:00,40,40,312
2023-06-24 00:00:00,2023-06-24 08:00:00,9,0,313
2023-06-24 00:00:00,2023-06-24 08:00:00,2,1,314
2023-06-24 00:00:00,2023-06-24 08:00:00,2,2,315
2023-06-26 00:00:00,2023-06-26 08:00:00,3,2,316
2023-06-26 00:00:00,2023-06-26 08:00:00,8,7,317
2023-06-26 00:00:00,2023-06-26 08:00:00,4,4,318
2023-06-28 00:00:00,2023-06-28 08:00:00,6,6,319
2023-06-30 00:00:00,2023-06-30 08:00:00,13,10,320
2023-06-30 00:00:00,2023-06-30 08:00:00,4,0,321
2023-07-02 00:00:00,2023-07-02 08:00:00,3,3,322
2023-07-02 00:00:00,2023-07-02 08:00:00,8,8,323
2023-07-03 00:00:00,2023-07-03 08:00:00,17,13,324
2023-07-05 00:00:00,2023-07-05 00:00:00,4,4,325
2023-07-05 00:00:00,2023-07-05 00:00:00,2,2,326
2023-07-05 00:00:00,2023-07-05 00:00:00,1,1,327
2023-07-05 00:00:00,2023-07-05 00:00:00,1,1,328
2023-07-06 01:00:00,2023-07-06 03:00:00,10,7,329
2023-07-07 00:00:00,2023-07-07 08:00:00,18,12,330
2023-07-08 00:00:00,2023-07-08 08:00:00,5,5,331
2023-07-10 00:00:00,2023-07-10 00:00:00,3,3,332
2023-07-10 00:00:00,2023-07-10 00:00:00,4,4,333
2023-07-11 00:00:00,2023-07-11 08:00:00,1,1,334
2023-07-11 00:00:00,2023-07-11 08:00:00,28,26,335
2023-07-12 00:00:00,2023-07-12 08:00:00,15,11,336
2023-07-13 00:00:00,2023-07-13 08:00:00,20,20,337
2023-07-13 00:00:00,2023-07-13 08:00:00,2,2,338
2023-07-13 00:00:00,2023-07-13 08:00:00,1,0,339
2023-07-13 00:00:00,2023-07-13 00:00:00,6,6,340
2023-07-13 22:00:00,2023-07-14 04:00:00,17,16,341
2023-07-13 22:00:00,2023-07-14 04:00:00,1,1,342
2023-07-14 00:00:00,2023-07-14 00:00:00,3,3,343
2023-07-14 00:00:00,2023-07-14 00:00:00,3,3,344
2023-07-15 00:00:00,2023-07-15 08:00:00,6,4,345
2023-07-17 00:00:00,2023-07-17 00:00:00,3,3,346
2023-07-17 00:00:00,2023-07-17 00:00:00,1,1,347
2023-07-17 00:00:00,2023-07-17 00:00:00,9,9,348
2023-07-18 00:00:00,2023-07-18 08:00:00,36,31,349
2023-07-18 00:00:00,2023-07-18 08:00:00,1,1,350
2023-07-18 00:00:00,2023-07-18 08:00:00,6,6,351
2023-07-19 00:00:00,2023-07-19 08:00:00,32,23,352
2023-07-19 00:00:00,2023-07-19 08:00:00,1,1,353
2023-07-19 00:00:00,2023-07-19 08:00:00,16,13,354
2023-07-19 00:00:00,2023-07-19 08:00:00,8,0,355
2023-07-19 00:00:00,2023-07-19 08:00:00,6,0,356
2023-07-20 00:00:00,2023-07-20 08:00:00,19,13,357
2023-07-20 00:00:00,2023-07-20 08:00:00,3,2,358
2023-07-20 00:00:00,2023-07-20 08:00:00,5,3,359
2023-07-20 00:00:00,2023-07-20 08:00:00,7,0,360
2023-07-20 00:00:00,2023-07-20 08:00:00,4,0,361
2023-07-21 00:00:00,2023-07-21 00:00:00,9,9,362
2023-07-22 00:00:00,2023-07-22 08:00:00,5,5,363
2023-07-23 00:00:00,2023-07-23 08:00:00,5,0,364
2023-07-23 00:00:00,2023-07-23 08:00:00,3,0,365
2023-07-23 00:00:00,2023-07-23 08:00:00,4,4,366
2023-07-23 00:00:00,2023-07-23 08:00:00,5,5,367
2023-07-23 00:00:00,2023-07-23 08:00:00,2,2,368
2023-07-24 00:00:00,2023-07-24 08:00:00,3,3,369
2023-07-26 13:00:00,2023-07-26 15:00:00,3,3,370
2023-07-26 17:00:00,2023-07-26 20:30:00,36,33,371
2023-07-26 19:00:00,2023-07-26 20:30:00,4,0,372
2023-07-27 00:00:00,2023-07-27 08:00:00,2,0,373
2023-07-27 00:00:00,2023-07-27 08:00:00,8,8,374
2023-07-29 00:00:00,2023-07-29 00:00:00,4,4,375
2023-07-30 00:00:00,2023-07-30 08:00:00,4,4,376
2023-08-02 00:00:00,2023-08-02 08:00:00,23,23,377
2023-08-02 00:00:00,2023-08-02 00:00:00,7,7,378
2023-08-03 00:00:00,2023-08-03 08:00:00,15,15,379
2023-08-05 18:00:00,2023-08-05 19:40:00,14,13,380
2023-08-05 18:00:00,2023-08-05 19:40:00,3,0,381
2023-08-05 22:00:00,2023-08-06 05:00:00,27,27,382
2023-08-05 22:00:00,2023-08-06 05:00:00,6,5,383
2023-08-05 22:00:00,2023-08-06 05:00:00,20,13,384
